session_id,name,stimulus_name,specimen_id,storage_directory,external_specimen_name,genotype,date_of_acquisition,rig,date_of_birth,full_genotype,age,sex,parent_session_id,workflow_state,project
692130296,20180430_378346_TargetedContrast,VisCodingTargetedContrast,671540231,/allen/programs/braintv/production/neuralcoding/prod50/specimen_671540231/ophys_session_692130296/,378346,Rorb-IRES2-Cre;Camk2a-tTA;Ai93,2018-04-30 18:54:24.000000,CAM2P.1,2018-01-17 00:00:00.000000,Rorb-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,P125,F,,uploaded,VisCodingTargetedContrast
692713539,20180501_378346_TargetedContrast,VisCodingTargetedContrast,671540231,/allen/programs/braintv/production/neuralcoding/prod50/specimen_671540231/ophys_session_692713539/,378346,Rorb-IRES2-Cre;Camk2a-tTA;Ai93,2018-05-01 19:54:25.000000,CAM2P.1,2018-01-17 00:00:00.000000,Rorb-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,P125,F,,uploaded,VisCodingTargetedContrast
692308988,20180430_377151_2P1_VISp_275um_TFxSF,VisCodingTargetedTFxSF,666839638,/allen/programs/braintv/production/neuralcoding/prod49/specimen_666839638/ophys_session_692308988/,377151,Rorb-IRES2-Cre;Camk2a-tTA;Ai93,2018-04-30 22:01:36.000000,CAM2P.1,2018-01-09 00:00:00.000000,Rorb-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,P129,M,,uploaded,VisCodingTargetedTFxSF
689705421,20180425_377629_TFxSF,VisCodingTargetedTFxSF,664744816,/allen/programs/braintv/production/neuralcoding/prod49/specimen_664744816/ophys_session_689705421/,377629,Sst-IRES-Cre;Ai148,2018-04-25 19:20:05.000000,CAM2P.2,2018-01-11 00:00:00.000000,Sst-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,P138,M,,uploaded,VisCodingTargetedTFxSF
692124629,20180430_377629_TFxSF,VisCodingTargetedTFxSF,664744816,/allen/programs/braintv/production/neuralcoding/prod49/specimen_664744816/ophys_session_692124629/,377629,Sst-IRES-Cre;Ai148,2018-04-30 18:50:45.000000,CAM2P.2,2018-01-11 00:00:00.000000,Sst-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,P138,M,,uploaded,VisCodingTargetedTFxSF
692310299,20180430_377321_2P2_VISp_275um_TFxSF,VisCodingTargetedTFxSF,664605504,/allen/programs/braintv/production/neuralcoding/prod48/specimen_664605504/ophys_session_692310299/,377321,Sst-IRES-Cre;Ai148,2018-04-30 22:34:48.000000,CAM2P.2,2018-01-08 00:00:00.000000,Sst-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,P134,M,,uploaded,VisCodingTargetedTFxSF
692799916,20180501_377321_2P2_VISpm_275um_TFxSF,VisCodingTargetedTFxSF,664605504,/allen/programs/braintv/production/neuralcoding/prod48/specimen_664605504/ophys_session_692799916/,377321,Sst-IRES-Cre;Ai148,2018-05-01 22:16:50.000000,CAM2P.2,2018-01-08 00:00:00.000000,Sst-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,P134,M,,uploaded,VisCodingTargetedTFxSF
692896730,20180502_383647_TargetedContrast,VisCodingTargetedContrast,675881553,/allen/programs/braintv/production/neuralcoding/prod51/specimen_675881553/ophys_session_692896730/,383647,Rorb-IRES2-Cre;Camk2a-tTA;Ai93,2018-05-02 15:46:18.000000,CAM2P.2,2018-02-16 00:00:00.000000,Rorb-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,P130,M,,uploaded,VisCodingTargetedContrast
693913351,20180504_383647_TargetedContrast,VisCodingTargetedContrast,675881553,/allen/programs/braintv/production/neuralcoding/prod51/specimen_675881553/ophys_session_693913351/,383647,Rorb-IRES2-Cre;Camk2a-tTA;Ai93,2018-05-04 14:46:49.000000,CAM2P.2,2018-02-16 00:00:00.000000,Rorb-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,P130,M,,uploaded,VisCodingTargetedContrast
689723323,20180425_378346_TargetedContrast,VisCodingTargetedContrast,671540231,/allen/programs/braintv/production/neuralcoding/prod50/specimen_671540231/ophys_session_689723323/,378346,Rorb-IRES2-Cre;Camk2a-tTA;Ai93,2018-04-25 19:38:12.000000,CAM2P.1,2018-01-17 00:00:00.000000,Rorb-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,P125,F,,uploaded,VisCodingTargetedContrast
